date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
01/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
02/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
03/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
04/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
05/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
06/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
07/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
08/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
09/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
10/01/2020,Spain,0,0,0,0,46937060,26831.63,14.576872,65.7753051,19.6478229,6.543,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.484,1.062,0.362,0.153,0.079,0,0,0,0,0
